variable,valor
gespsoja28,52.9
gespgirasol8,88.2
gespcebada8,35.3
gespsorgo8,88.2
gesptrigo10,47.5
gespmaiz10,118.8
gespsoja110,118.8
gespsoja210,71.3
gespgirasol10,118.8
gespcebada10,47.5
gespsorgo10,118.8
gesptrigo12,43.2
gespmaiz12,108.0
gespsoja112,108.0
gespsoja212,64.8
gespgirasol12,108.0
gespcebada12,43.2
gespsorgo12,108.0
gesptrigo13,29.5
gespmaiz13,73.8
gespsoja113,73.8
gespsoja213,44.3
gespgirasol13,73.8
gespcebada13,29.5
gespsorgo13,73.8
gesptrigo14,33.1
gespmaiz14,82.8
gespsoja114,82.8
gespsoja214,49.7
gespgirasol14,82.8
gespcebada14,33.1
gespsorgo14,82.8
gesptrigo15,28.8
gespmaiz15,72.0
gespsoja115,72.0
gespsoja215,43.2
gespgirasol15,72.0
gespcebada15,28.8
gespsorgo15,72.0
gesptrigo16,33.1
gespmaiz16,82.8
gespsoja116,82.8
gespsoja216,49.7
gespgirasol16,82.8
gespcebada16,33.1
gespsorgo16,82.8
gespsoja22,108.0
gespgirasol2,180.0
notuse2,180.0
gespcebada2,72.0
gespsorgo2,180.0
notuse22,180.0
gesptrigo2,72.0
gespmaiz2,180.0
gespsoja12,180.0
gespsoja111,82.8
gespsoja211,49.7
gespgirasol11,82.8
gespcebada11,82.8
gespsorgo11,82.8
gespmaiz11,82.8
gesptrigo11,33.1
gespgirasol9,104.4
notuse9,104.4
gespcebada9,41.8
gespsorgo9,104.4
notuse29,104.4
gesptrigo9,41.8
gespmaiz9,104.4
gespsoja19,104.4
gespsoja29,62.6
gesatrigo,26.8
gesamaiz,67.0
gesasoja1,67.0
gesasoja2,40.2
gesagirasol,67.0
gesacebada,26.8
gesasorgo,67.0
arrendmaiz1,511.7
arrendgirasol1,511.7
arrendsoja11,511.7
arrendsorgo1,511.7
arrendsoja21,307.02
arrendtrigo1,204.68
arrendcebada1,204.68
arrendmaiz2,571.9
arrendgirasol2,571.9
arrendsoja12,571.9
arrendsorgo2,571.9
arrendsoja22,343.14
arrendtrigo2,228.76
arrendcebada2,228.76
arrendmaiz3,421.4
arrendgirasol3,421.4
arrendsoja13,421.4
arrendsorgo3,421.4
arrendsoja23,252.83999999999997
arrendtrigo3,168.56
arrendcebada3,168.56
arrendmaiz4,270.90000000000003
arrendgirasol4,270.90000000000003
arrendsoja14,270.90000000000003
arrendsorgo4,270.90000000000003
arrendsoja24,162.54000000000002
arrendtrigo4,108.36000000000001
arrendcebada4,108.36000000000001
arrendmaiz5,361.2
arrendgirasol5,361.2
arrendsoja15,361.2
arrendsorgo5,361.2
arrendsoja25,216.72
arrendtrigo5,144.48
arrendcebada5,144.48
arrendmaiz6,301.0
arrendgirasol6,301.0
arrendsoja16,301.0
arrendsorgo6,301.0
arrendsoja26,180.6
arrendtrigo6,120.4
arrendcebada6,120.4
arrendmaiz7,301.0
arrendgirasol7,301.0
arrendsoja17,301.0
arrendsorgo7,301.0
arrendsoja27,180.6
arrendtrigo7,120.4
arrendcebada7,120.4
arrendmaiz8,361.2
arrendgirasol8,361.2
arrendsoja18,361.2
arrendsorgo8,361.2
arrendsoja28,216.72
arrendtrigo8,144.48
arrendcebada8,144.48
arrendmaiz9,331.1
arrendgirasol9,331.1
arrendsoja19,331.1
arrendsorgo9,331.1
arrendsoja29,198.66
arrendtrigo9,132.44000000000003
arrendcebada9,132.44000000000003
arrendmaiz10,301.0
arrendgirasol10,301.0
arrendsoja110,301.0
arrendsorgo10,301.0
arrendsoja210,180.6
arrendtrigo10,120.4
arrendcebada10,120.4
arrendmaiz11,301.0
arrendgirasol11,301.0
arrendsoja111,301.0
arrendsorgo11,301.0
arrendsoja211,180.6
arrendtrigo11,120.4
arrendcebada11,120.4
arrendmaiz12,301.0
arrendgirasol12,301.0
arrendsoja112,301.0
arrendsorgo12,301.0
arrendsoja212,180.6
arrendtrigo12,120.4
arrendcebada12,120.4
arrendmaiz13,240.8
arrendgirasol13,240.8
arrendsoja113,240.8
arrendsorgo13,240.8
arrendsoja213,144.48
arrendtrigo13,96.32000000000001
arrendcebada13,96.32000000000001
arrendmaiz14,240.8
arrendgirasol14,240.8
arrendsoja114,240.8
arrendsorgo14,240.8
arrendsoja214,144.48
arrendtrigo14,96.32000000000001
arrendcebada14,96.32000000000001
arrendmaiz15,240.8
arrendgirasol15,240.8
arrendsoja115,240.8
arrendsorgo15,240.8
arrendsoja215,144.48
arrendtrigo15,96.32000000000001
arrendcebada15,96.32000000000001
arrendmaiz16,210.7
arrendgirasol16,210.7
