variable,valor
gespcebada10,47.5
gespsorgo10,118.8
gesptrigo11,33.1
gespmaiz11,82.8
gespsoja111,82.8
gespsoja211,49.7
gespgirasol11,82.8
gespcebada11,33.1
gespsorgo11,82.8
gesptrigo12,43.2
gespmaiz12,108.0
gespsoja112,108.0
gespsoja212,64.8
gespgirasol12,108.0
gespcebada12,43.2
gespsorgo12,108.0
gesptrigo13,29.5
gespmaiz13,73.8
gespsoja113,73.8
gespsoja213,44.3
gespgirasol13,73.8
gespcebada13,29.5
gespsorgo13,73.8
gesptrigo16,33.1
gespmaiz16,82.8
gespsoja116,82.8
gespsoja216,49.7
gespgirasol16,82.8
gespcebada16,33.1
gespsorgo16,82.8
gespsoja114,82.8
gespsoja214,49.7
gespgirasol14,82.8
gespsorgo14,82.8
gesptrigo14,33.1
gespmaiz14,82.8
gesptrigo15,28.8
gespmaiz15,72.0
gespsoja115,72.0
gespsoja215,43.2
gespgirasol15,72.0
gespcebada15,28.8
gespsorgo15,72.0
gesatrigo,26.8
gesamaiz,67.0
gesasoja1,67.0
gesasoja2,40.2
gesagirasol,67.0
gesacebada,26.8
gesasorgo,67.0
arrendtrigo1,221.0
arrendmaiz1,552.5
arrendsoja11,552.5
arrendsoja21,331.5
arrendgirasol1,552.5
arrendcebada1,221.0
arrendsorgo1,552.5
arrendtrigo2,247.0
arrendmaiz2,617.5
arrendsoja12,617.5
arrendsoja22,370.5
arrendgirasol2,617.5
arrendcebada2,247.0
arrendsorgo2,617.5
arrendtrigo3,182.0
arrendmaiz3,455.0
arrendsoja13,455.0
arrendsoja23,273.0
arrendgirasol3,455.0
arrendcebada3,182.0
arrendsorgo3,455.0
arrendtrigo4,175.5
arrendmaiz4,292.5
arrendsoja14,292.5
arrendsoja24,117.0
arrendgirasol4,292.5
arrendcebada4,175.5
arrendsorgo4,292.5
arrendtrigo5,156.0
arrendmaiz5,390.0
arrendsoja15,390.0
arrendsoja25,234.0
arrendgirasol5,390.0
arrendcebada5,156.0
arrendsorgo5,390.0
