variable,valor
arrendtrigo12,141.6
arrendcebada12,141.6
arrendmaiz13,270
arrendgirasol13,270
arrendsoja113,270
arrendsorgo13,270
arrendsoja213,108
arrendtrigo13,162
arrendcebada13,162
arrendmaiz14,270
arrendgirasol14,270
arrendsoja114,270
arrendsorgo14,270
arrendsoja214,108
arrendtrigo14,162
arrendcebada14,162
arrendmaiz15,270
arrendgirasol15,270
arrendsoja115,270
arrendsorgo15,270
arrendsoja215,108
arrendtrigo15,162
arrendcebada15,162
arrendmaiz16,236
arrendgirasol16,236
arrendsoja116,236
arrendsorgo16,236
arrendsoja216,94.4
arrendtrigo16,141.6
arrendcebada16,141.6
ctrigo1,425.4
cmaiz1,650.9
csoja11,339.2
csoja21,266.2
cgirasol1,391.5
notuse1,691.6
ccebada1,371
csorgo1,511.8
gtrigo1,190.3
gmaiz1,441.5
gsoja11,253.4
gsoja21,207.2
ggirasol1,166.4
gnada1,397.5
gcebada1,168
gsorgo1,312
rtrigo1,3.32
rmaiz1,7.85
rsoja11,3.46
rsoja21,2.64
rgirasol1,2.34
rcebada1,3.04
rsorgo1,5.5
rtrigo2,4.18
rmaiz2,8.08
rsoja12,3.65
rsoja22,2.19
rgirasol2,2.81
rcebada2,4.13
rsorgo2,5.92
rtrigo3,2.79
rmaiz3,7.86
rsoja13,3.2
rsoja23,2.29
rgirasol3,2.46
rcebada3,2.75
rsorgo3,4.63
rtrigo4,2.08
rmaiz4,5.44
rsoja14,2.21
rsoja24,1.77
rgirasol4,1.84
rcebada4,2.41
rsorgo4,3.09
rtrigo5,4.11
rmaiz5,6.05
rsoja15,2.44
rsoja25,1.57
rgirasol5,2.01
rcebada5,4.52
rsorgo5,3.41
rtrigo6,3.65
rmaiz6,7.16
rsoja16,2.95
rsoja26,1.96
rgirasol6,2.2
rcebada6,4.51
rsorgo6,5.24
rtrigo7,4.21
rmaiz7,7.18
rsoja17,3.1
rsoja27,1.84
rgirasol7,2.37
rcebada7,4.89
rsorgo7,5.84
rtrigo8,2.23
rmaiz8,7.5
rsoja18,2.84
rsoja28,2.47
rgirasol8,2.26
rcebada8,2.02
rsorgo8,4.87
rtrigo9,2.16
rmaiz9,7.55
rsoja19,3.05
rsoja29,2.41
rgirasol9,2.07
rcebada9,1.7
rsorgo9,5.04
rtrigo10,2.8
rmaiz10,6.89
rsoja110,3.45
rsoja210,2.94
rgirasol10,2.45
rcebada10,2.4
rsorgo10,5.01
rtrigo11,1.99
rmaiz11,4.44
rsoja111,2.21
rsoja211,1.98
rgirasol11,1.9
rcebada11,1
rsorgo11,3.37
rtrigo12,2.97
rmaiz12,5.53
rsoja112,2.49
rsoja212,2.04
rgirasol12,1.94
rcebada12,3.28
rsorgo12,4.6
rtrigo13,1.43
rmaiz13,5.84
rsoja113,2.9
rsoja213,2.75
rgirasol13,1.64
rcebada13,1.11
rsorgo13,2.98
rtrigo14,1.17
rmaiz14,3.53
rsoja114,1.83
rsoja214,1.61
rgirasol14,1.66
rcebada14,1
rsorgo14,2.59
rtrigo15,1.39
rmaiz15,5.66
rsoja115,2.56
rsoja215,2.53
rgirasol15,2.07
rcebada15,1.46
rsorgo15,3.29
rtrigo16,2.17
rmaiz16,6.08
rsoja116,2.18
rsoja216,1.49
rgirasol16,2.02
rcebada16,2.67
rsorgo16,3.7
gasvartrigo1,0.258195
gasvarmaiz1,0.290957
gasvarsoja11,0.216677
gasvarsoja21,0.232204
gasvargirasol1,0.192192
gasvarcebada1,0.270898
gasvarsorgo1,0.286501
gasvartrigo2,0.25874
gasvarmaiz2,0.291062
gasvarsoja12,0.216665
gasvarsoja22,0.232228
gasvargirasol2,0.191978
gasvarcebada2,0.270379
gasvarsorgo2,0.286736
gasvartrigo3,0.354548
gasvarmaiz3,0.409981
gasvarsoja13,0.284763
gasvarsoja23,0.300121
gasvargirasol3,0.251044
gasvarcebada3,0.374332
gasvarsorgo3,0.412112
gasvartrigo4,0.271353
gasvarmaiz4,0.315439
gasvarsoja14,0.230662
gasvarsoja24,0.246883
gasvargirasol4,0.191833
gasvarcebada4,0.340493
gasvarsorgo4,0.309732
gasvartrigo5,0.271366
gasvarmaiz5,0.315016
gasvarsoja15,0.230866
gasvarsoja25,0.246486
gasvargirasol5,0.192551
gasvarcebada5,0.285008
gasvarsorgo5,0.310584
gasvartrigo6,0.279773
gasvarmaiz6,0.293925
gasvarsoja16,0.230569
gasvarsoja26,0.246196
gasvargirasol6,0.192506
gasvarcebada6,0.293357
gasvarsorgo6,0.290019
gasvartrigo7,0.279472
gasvarmaiz7,0.303049
gasvarsoja17,0.230483
gasvarsoja27,0.246173
gasvargirasol7,0.191812
gasvarcebada7,0.293516
gasvarsorgo7,0.298879
gasvartrigo8,0.316527
gasvarmaiz8,0.357096
gasvarsoja18,0.254709
gasvarsoja28,0.269866
gasvargirasol8,0.217053
gasvarcebada8,0.341196
gasvarsorgo8,0.370025
gasvartrigo9,0.357232
gasvarmaiz9,0.409685
gasvarsoja19,0.284994
gasvarsoja29,0.300155
gasvargirasol9,0.251991
gasvarcebada9,0.383218
gasvarsorgo9,0.402838
gasvartrigo10,0.357465
gasvarmaiz10,0.410035
gasvarsoja110,0.28471
gasvarsoja210,0.300386
gasvargirasol10,0.251737
gasvarcebada10,0.38317
gasvarsorgo10,0.402427
gasvartrigo11,0.356512
gasvarmaiz11,0.409437
gasvarsoja111,0.284479
gasvarsoja211,0.300341
gasvargirasol11,0.251067
gasvarcebada11,1
gasvarsorgo11,0.402841
gasvartrigo12,0.279674
gasvarmaiz12,0.314889
gasvarsoja112,0.230389
gasvarsoja212,0.246258
gasvargirasol12,0.192115
gasvarcebada12,0.29337
gasvarsorgo12,0.309838
gasvartrigo13,0.399735
gasvarmaiz13,0.459485
gasvarsoja113,0.3081
gasvarsoja213,0.329209
gasvargirasol13,0.251483
gasvarcebada13,0.429253
gasvarsorgo13,0.451325
gasvartrigo14,0.456225
gasvarmaiz14,0.582986
gasvarsoja114,0.330617
gasvarsoja214,0.340512
gasvargirasol14,0.271736
gasvarcebada14,1
gasvarsorgo14,0.572716
gasvartrigo15,0.491931
gasvarmaiz15,0.586887
gasvarsoja115,0.37953
gasvarsoja215,0.390229
gasvargirasol15,0.355921
gasvarcebada15,0.530822
gasvarsorgo15,0.57628
gasvartrigo16,0.3973
gasvarmaiz16,0.4694
gasvarsoja116,0.3136
gasvarsoja216,0.318866
gasvargirasol16,0.28259
gasvarcebada16,0.5783
gasvarsorgo16,0.46113919
notuse21,691.6
notuse23,644.5
notuse28,666.1
notuse29,651.1
notuse21,397.5
notuse23,451.9
notuse28,381.9
notuse29,415.8
notuse21,224.3
notuse23,186.8
notuse28,226.7
notuse29,184.7
gespnotuse28,226.7
gespnotuse8,226.7
